GRD_NEWID,MS_POPULATION_20200101
1kmN3130E3817,9
1kmN3131E3817,79
1kmN3132E3817,73
1kmN3133E3817,8
1kmN3134E3817,1
1kmN3135E3817,20
1kmN3136E3817,8
1kmN3137E3817,21
1kmN3138E3817,18
1kmN3139E3817,21
1kmN3140E3817,19
1kmN3141E3817,1
1kmN3142E3817,257
1kmN3143E3817,207
1kmN3144E3817,0
1kmN3089E3818,0
1kmN3090E3818,455
1kmN3091E3818,34
1kmN3092E3818,133
1kmN3093E3818,8
1kmN3094E3818,21
1kmN3095E3818,17
1kmN3096E3818,18
1kmN3097E3818,15
1kmN3098E3818,25
1kmN3099E3818,30
1kmN3100E3818,15
1kmN3101E3818,26
1kmN3102E3818,44
1kmN3103E3818,34
1kmN3104E3818,67
1kmN3105E3818,33
1kmN3106E3818,48
1kmN3107E3818,18
1kmN3108E3818,663
1kmN3109E3818,31
1kmN3110E3818,22
1kmN3111E3818,215
1kmN3112E3818,171
1kmN3113E3818,91
1kmN3114E3818,93
1kmN3115E3818,35
1kmN3116E3818,18
1kmN3117E3818,25
1kmN3118E3818,3
1kmN3119E3818,58
1kmN3120E3818,51
1kmN3121E3818,9
1kmN3122E3818,0
1kmN3123E3818,18
1kmN3124E3818,18
1kmN3125E3818,9
1kmN3126E3818,6
1kmN3127E3818,38
1kmN3128E3818,22
1kmN3129E3818,8
1kmN3130E3818,24
1kmN3131E3818,9
1kmN3132E3818,12
1kmN3133E3818,12
1kmN3134E3818,16
1kmN3135E3818,0
1kmN3136E3818,8
1kmN3137E3818,60
1kmN3138E3818,20
1kmN3139E3818,13
1kmN3140E3818,69
1kmN3141E3818,10
1kmN3142E3818,101
1kmN3143E3818,816
1kmN3144E3818,13
1kmN3088E3819,0
1kmN3089E3819,4
1kmN3090E3819,1517
1kmN3091E3819,426
1kmN3092E3819,709
1kmN3093E3819,404
1kmN3094E3819,39
1kmN3095E3819,20
1kmN3096E3819,28
1kmN3097E3819,10
1kmN3098E3819,21
1kmN3099E3819,380
1kmN3100E3819,21
1kmN3101E3819,7
1kmN3102E3819,372
1kmN3103E3819,42
1kmN3104E3819,137
1kmN3105E3819,1978
1kmN3106E3819,2048
1kmN3107E3819,714
1kmN3108E3819,42
1kmN3109E3819,14
1kmN3110E3819,125
1kmN3111E3819,885
1kmN3112E3819,53
1kmN3113E3819,34
1kmN3114E3819,51
1kmN3115E3819,67
1kmN3116E3819,21
1kmN3117E3819,267
1kmN3118E3819,641
1kmN3119E3819,40
1kmN3120E3819,35
1kmN3121E3819,9
1kmN3122E3819,4
1kmN3123E3819,2
1kmN3124E3819,20
1kmN3125E3819,41
1kmN3126E3819,14
1kmN3127E3819,199
1kmN3128E3819,18
1kmN3129E3819,17
1kmN3130E3819,6
1kmN3131E3819,27
1kmN3132E3819,12
1kmN3133E3819,9
1kmN3134E3819,30
1kmN3135E3819,10
1kmN3136E3819,5
1kmN3137E3819,129
1kmN3138E3819,21
1kmN3139E3819,14
1kmN3140E3819,7
1kmN3141E3819,10
1kmN3142E3819,14
1kmN3143E3819,1053
1kmN3144E3819,2913
1kmN3145E3819,0
1kmN3088E3820,32
1kmN3089E3820,258
1kmN3090E3820,72
1kmN3091E3820,72
1kmN3092E3820,13
1kmN3093E3820,5
1kmN3094E3820,26
1kmN3095E3820,18
1kmN3096E3820,637
1kmN3097E3820,389
1kmN3098E3820,117
1kmN3099E3820,664
1kmN3100E3820,15
1kmN3101E3820,112
1kmN3102E3820,188
1kmN3103E3820,25
1kmN3104E3820,605
1kmN3105E3820,1005
1kmN3106E3820,4203
1kmN3107E3820,1949
1kmN3108E3820,105
1kmN3109E3820,34
1kmN3110E3820,29
1kmN3111E3820,135
1kmN3112E3820,65
1kmN3113E3820,24
1kmN3114E3820,259
1kmN3115E3820,150
1kmN3116E3820,27
1kmN3117E3820,164
1kmN3118E3820,202
1kmN3119E3820,18
1kmN3120E3820,17
1kmN3121E3820,0
1kmN3122E3820,45
1kmN3123E3820,20
1kmN3124E3820,0
1kmN3125E3820,46
1kmN3126E3820,564
1kmN3127E3820,348
1kmN3128E3820,8
1kmN3129E3820,23
1kmN3130E3820,11
1kmN3131E3820,3
1kmN3132E3820,34
1kmN3133E3820,3
1kmN3134E3820,9
1kmN3135E3820,142
1kmN3136E3820,29
1kmN3137E3820,12
1kmN3138E3820,4
1kmN3139E3820,20
1kmN3140E3820,13
1kmN3141E3820,119
1kmN3142E3820,70
1kmN3143E3820,796
1kmN3144E3820,1896
1kmN3145E3820,0
1kmN3088E3821,0
1kmN3089E3821,0
1kmN3090E3821,142
1kmN3091E3821,101
1kmN3092E3821,226
1kmN3093E3821,161
1kmN3094E3821,63
1kmN3095E3821,34
1kmN3096E3821,147
1kmN3097E3821,99
1kmN3098E3821,14
1kmN3099E3821,33
1kmN3100E3821,40
1kmN3101E3821,32
1kmN3102E3821,6
1kmN3103E3821,11
1kmN3104E3821,34
1kmN3105E3821,485
1kmN3106E3821,2926
1kmN3107E3821,1840
1kmN3108E3821,173
1kmN3109E3821,4
1kmN3110E3821,28
1kmN3111E3821,140
1kmN3112E3821,51
1kmN3113E3821,27
1kmN3114E3821,40
1kmN3115E3821,28
1kmN3116E3821,24
1kmN3117E3821,35
1kmN3118E3821,58
1kmN3119E3821,48
1kmN3120E3821,40
1kmN3121E3821,78
1kmN3122E3821,523
1kmN3123E3821,496
1kmN3124E3821,95
1kmN3125E3821,1006
1kmN3126E3821,2490
1kmN3127E3821,917
1kmN3128E3821,18
1kmN3129E3821,5
1kmN3130E3821,12
1kmN3131E3821,29
1kmN3132E3821,15
1kmN3133E3821,8
1kmN3134E3821,2
1kmN3135E3821,6
1kmN3136E3821,27
1kmN3137E3821,11
1kmN3138E3821,13
1kmN3139E3821,27
1kmN3140E3821,465
1kmN3141E3821,15
1kmN3142E3821,8
1kmN3143E3821,124
1kmN3144E3821,21
1kmN3145E3821,20
1kmN3146E3821,0
1kmN3089E3822,0
1kmN3090E3822,5
1kmN3091E3822,102
1kmN3092E3822,32
1kmN3093E3822,123
1kmN3094E3822,31
1kmN3095E3822,10
1kmN3096E3822,22
1kmN3097E3822,22
1kmN3098E3822,36
1kmN3099E3822,26
1kmN3100E3822,17
1kmN3101E3822,32
1kmN3102E3822,13
1kmN3103E3822,27
1kmN3104E3822,58
1kmN3105E3822,103
1kmN3106E3822,1568
1kmN3107E3822,650
1kmN3108E3822,173
1kmN3109E3822,19
1kmN3110E3822,33
1kmN3111E3822,11
1kmN3112E3822,158
1kmN3113E3822,74
1kmN3114E3822,44
1kmN3115E3822,30
1kmN3116E3822,14
1kmN3117E3822,98
1kmN3118E3822,31
1kmN3119E3822,57
