iter	Passed	Remaining
923	665	198
924	666	198
925	666	197
926	667	196
927	668	195
928	668	195
929	669	194
930	670	193
931	670	192
932	671	192
933	672	191
934	672	190
935	673	189
936	673	189
937	674	188
938	675	187
939	675	186
940	676	186
941	677	185
942	678	184
943	679	184
944	680	183
945	681	182
946	681	182
947	683	181
948	684	181
949	684	180
950	685	179
951	686	178
952	686	177
953	687	177
954	687	176
955	688	175
956	689	174
957	689	174
958	690	173
959	690	172
960	691	171
961	691	171
962	692	170
963	693	169
964	693	168
965	694	168
966	695	167
967	695	166
968	696	165
969	696	165
970	697	164
971	697	163
972	698	162
973	699	162
974	699	161
975	700	160
976	701	160
977	701	159
978	702	158
979	702	157
980	703	157
981	703	156
982	704	155
983	704	154
984	705	153
985	706	153
986	706	152
987	707	151
988	707	151
989	708	150
990	709	149
991	709	148
992	710	148
993	710	147
994	711	146
995	712	145
996	712	145
997	713	144
998	714	143
999	714	142
1000	715	142
1001	716	141
1002	716	140
1003	717	140
1004	717	139
1005	718	138
1006	718	137
1007	719	137
1008	720	136
1009	720	135
1010	721	134
1011	722	134
1012	722	133
1013	723	132
1014	724	131
1015	724	131
1016	725	130
1017	725	129
1018	726	129
1019	727	128
1020	727	127
1021	728	126
1022	728	126
1023	729	125
1024	730	124
1025	730	123
1026	731	123
1027	731	122
1028	732	121
1029	732	120
1030	733	120
1031	734	119
1032	734	118
1033	735	118
1034	735	117
1035	736	116
1036	736	115
1037	737	115
1038	738	114
1039	738	113
1040	739	112
1041	740	112
1042	740	111
1043	741	110
1044	741	110
1045	742	109
1046	743	108
1047	743	107
1048	744	107
1049	744	106
1050	745	105
1051	745	104
1052	746	104
1053	747	103
1054	747	102
1055	748	102
1056	748	101
1057	749	100
1058	750	99
1059	750	99
1060	752	98
1061	752	97
1062	753	97
1063	754	96
1064	754	95
1065	755	94
1066	756	94
1067	756	93
1068	758	92
1069	759	92
1070	760	91
1071	761	90
1072	762	90
1073	762	89
1074	763	88
1075	764	88
1076	764	87
1077	765	86
1078	765	85
1079	766	85
1080	767	84
1081	767	83
1082	768	83
1083	769	82
1084	769	81
1085	770	80
1086	770	80
1087	771	79
1088	772	78
1089	772	77
1090	773	77
1091	773	76
1092	774	75
1093	775	75
1094	775	74
1095	776	73
1096	776	72
1097	777	72
1098	778	71
1099	778	70
1100	779	70
1101	780	69
1102	780	68
1103	783	68
1104	783	67
1105	786	66
1106	786	66
1107	787	65
1108	788	64
1109	788	63
1110	789	63
1111	790	62
1112	790	61
1113	791	61
1114	791	60
1115	792	59
1116	792	58
1117	793	58
1118	794	57
1119	794	56
1120	795	56
1121	795	55
1122	796	54
1123	797	53
1124	797	53
1125	798	52
1126	798	51
1127	799	51
1128	800	50
1129	800	49
1130	801	48
1131	801	48
1132	802	47
1133	803	46
1134	803	46
1135	804	45
1136	805	44
1137	805	43
1138	806	43
1139	806	42
1140	807	41
1141	807	41
1142	808	40
1143	809	39
1144	809	38
1145	810	38
1146	811	37
1147	811	36
1148	812	36
1149	812	35
1150	813	34
1151	814	33
1152	814	33
1153	815	32
1154	816	31
1155	816	31
1156	817	30
1157	818	29
1158	819	28
1159	819	28
1160	820	27
1161	821	26
1162	822	26
1163	822	25
1164	824	24
1165	825	24
1166	825	23
1167	826	22
1168	827	21
1169	827	21
1170	828	20
1171	829	19
1172	829	19
1173	830	18
1174	831	17
1175	831	16
1176	832	16
1177	832	15
1178	833	14
1179	834	14
1180	834	13
1181	835	12
1182	835	12
1183	836	11
1184	836	10
1185	837	9
1186	837	9
1187	838	8
1188	838	7
1189	839	7
1190	840	6
1191	840	5
1192	841	4
1193	841	4
1194	842	3
1195	842	2
1196	843	2
1197	844	1
1198	844	0
1199	845	0
